country,latitude,longitude,Average Distance
Northern Mariana Islands,17.33083,145.38469,6349.091
Martinique,14.641528,-61.024174,5154.502
Mauritania,21.00789,-10.940835,4166.52
Montserrat,16.742498,-62.187366,5153.581
Malta,35.937496,14.375416,3857.195
Mauritius,-20.348404,57.552152,5287.501
Maldives,3.202778,73.22068,4987.737
Malawi,-13.254308,34.301525,4819.511
Mexico,23.634501,-102.552784,6061.583
Malaysia,4.210484,101.975766,5546.873
Mozambique,-18.665695,35.529562,4994.795
Namibia,-22.95764,18.49041,5045.129
New Caledonia,-20.904305,165.618042,6891.606
Niger,17.607789,8.081666,4024.981
Norfolk Island,-29.040835,167.954712,6937.061
Nigeria,9.081999,8.675277,4163.606
Nicaragua,12.865416,-85.207229,5794.675
Netherlands,52.132633,5.291266,4010.773
Norway,60.472024,8.468946,4179.2
Nepal,28.394857,84.124008,4874.078
Nauru,-0.522778,166.931503,6827.156
Niue,-19.054445,-169.867233,6931.55
New Zealand,-40.900557,174.885971,7009.909
Oman,21.512583,55.923255,4416.833
Panama,8.537981,-80.782127,5747.88
Peru,-9.189967,-75.015152,5932.968
French Polynesia,-17.679742,-149.406843,6885.125
Papua New Guinea,-6.314993,143.95555,6606.501
Philippines,12.879721,121.774017,5886.117
Pakistan,30.375321,69.345116,4594.664
Poland,51.919438,19.145136,3979.826
Saint Pierre and Miquelon,46.941936,-56.27111,4905.258
Pitcairn Islands,-24.703615,-127.439308,6837.852
Puerto Rico,18.220833,-66.590149,5244.557
Palestinian Territories,31.952162,35.233154,3985.326
Portugal,39.399872,-8.224454,4042.605
Palau,7.51498,134.58252,6260.522
Paraguay,-23.442503,-58.443832,5884.699
Qatar,25.354826,51.183884,4282.75
Réunion,-21.115141,55.536384,5284.301
Romania,45.943161,24.96676,3918.418
Serbia,44.016521,21.005859,3879.207
Russia,61.52401,105.318756,5127.772
Rwanda,-1.940278,29.873888,4472.822
Saudi Arabia,23.885942,45.079162,4195.283
Solomon Islands,-9.64571,160.156194,6812.739
Seychelles,-4.679574,55.491977,4871.822
Sudan,12.862807,30.217636,4166.476
Sweden,60.128161,18.643501,4160.356
Singapore,1.352083,103.819836,5639.002
Saint Helena,-24.143474,-10.030696,5210.718
Slovenia,46.151241,14.995463,3888.924
Svalbard and Jan Mayen,77.553604,23.670272,4668.647
Slovakia,48.669026,19.699024,3926.884
Sierra Leone,8.460555,-11.779889,4361.208
San Marino,43.94236,12.457777,3874.427
Senegal,14.497401,-14.452362,4299.519
Somalia,5.152149,46.199616,4517.301
Suriname,3.919305,-56.027783,5238.425
São Tomé and Príncipe,0.18636,6.613081,4372.637
El Salvador,13.794185,-88.89653,5873.297
Syria,34.802075,38.996815,4024.655
Swaziland,-26.522503,31.465866,5220.569
Turks and Caicos Islands,21.694025,-71.797928,5344.589
Chad,15.454166,18.732207,4051.742
French Southern Territories,-49.280366,69.348557,6222.486
Togo,8.619543,0.824782,4217.262
Thailand,15.870032,100.992541,5347.317
Tajikistan,38.861034,71.276093,4596.007
Tokelau,-8.967363,-171.855881,6903.241
Timor-Leste,-8.874217,125.727539,6308.173
Turkmenistan,38.969719,59.556278,4367.493
Tunisia,33.886917,9.537499,3877.212
Tonga,-21.178986,-175.198242,6944.048
Turkey,38.963745,35.243322,3975.412
Trinidad and Tobago,10.691803,-61.222503,5221.392
Tuvalu,-7.109535,177.64933,6890.512
Taiwan,23.69781,120.960515,5730.763
Tanzania,-6.369028,34.888822,4632.312
Ukraine,48.379433,31.16558,3996.712
Uganda,1.373333,32.290275,4415.73
United States,37.09024,-95.712891,5749.447
Uruguay,-32.522779,-55.765835,6050.542
Uzbekistan,41.377491,64.585262,4461.201
Vatican City,41.902916,12.453389,3863.348
Saint Vincent and the Grenadines,12.984305,-61.287228,5184.172
Venezuela,6.42375,-66.58973,5426.893
British Virgin Islands,18.420695,-64.639968,5194.032
U.S. Virgin Islands,18.335765,-64.896335,5201.141
Vietnam,14.058324,108.277199,5541.628
Vanuatu,-15.376706,166.959158,6874.192
Wallis and Futuna,-13.768752,-177.156097,6916.323
Samoa,-13.759029,-172.104629,6916.821
Kosovo,42.602636,20.902977,3869.676
Yemen,15.552727,48.516388,4367.533
Mayotte,-12.8275,45.166244,4928.864
South Africa,-30.559482,22.937506,5319.474
Zambia,-13.133897,27.849332,4765.166
Zimbabwe,-19.015438,29.154857,4955.881
